,Unnamed: 0,category,balance,Date
0,0.0,Medical or Surgical Masks,1320109.0,2020-07-29
1,1.0,Gloves,1113298.0,2020-07-29
2,2.0,Alternative Gowns,1013776.0,2020-07-29
3,3.0,Gowns,486245.0,2020-07-29
4,4.0,N95 Masks,479630.0,2020-07-29
5,5.0,Eye Protection,284560.0,2020-07-29
6,6.0,Other Items,100315.0,2020-07-29
7,7.0,Reusable cloth face covering,79900.0,2020-07-29
8,8.0,Face Shield,64830.0,2020-07-29
9,9.0,Cleaning/Disinfectant,27760.0,2020-07-29
10,10.0,KN95 Masks,5695.0,2020-07-29
11,11.0,Hand Sanitizer/Hygiene,2517.0,2020-07-29
12,12.0,Powered air-purifying respirator (PAPR),1648.0,2020-07-29
13,13.0,Coveralls,181.0,2020-07-29
14,14.0,Medical or Surgical Masks,1315409.0,2020-07-30
15,15.0,Gloves,1105698.0,2020-07-30
16,16.0,Alternative Gowns,1013616.0,2020-07-30
17,17.0,Gowns,662817.0,2020-07-30
18,18.0,N95 Masks,477330.0,2020-07-30
19,19.0,Eye Protection,284560.0,2020-07-30
20,20.0,Other Items,99815.0,2020-07-30
21,21.0,Reusable cloth face covering,79900.0,2020-07-30
22,22.0,Face Shield,64705.0,2020-07-30
23,23.0,Cleaning/Disinfectant,27760.0,2020-07-30
24,24.0,KN95 Masks,5695.0,2020-07-30
25,25.0,Hand Sanitizer/Hygiene,2517.0,2020-07-30
26,26.0,Powered air-purifying respirator (PAPR),1648.0,2020-07-30
27,27.0,Coveralls,181.0,2020-07-30
28,,Medical or Surgical Masks,1273689.0,2020-08-10
29,,Gloves,1016748.0,2020-08-10
30,,Alternative Gowns,1009972.0,2020-08-10
31,,Gowns,762769.0,2020-08-10
32,,N95 Masks,688330.0,2020-08-10
33,,Eye Protection,284560.0,2020-08-10
34,,Other Items,98935.0,2020-08-10
35,,Face Shield,55933.0,2020-08-10
36,,Reusable cloth face covering,38900.0,2020-08-10
37,,Cleaning/Disinfectant,26925.0,2020-08-10
38,,KN95 Masks,5695.0,2020-08-10
39,,Hand Sanitizer/Hygiene,2457.0,2020-08-10
40,,Powered air-purifying respirator (PAPR),1488.0,2020-08-10
41,,BATTERIES,824.0,2020-08-10
42,,Thermometer,412.0,2020-08-10
43,,BOTTLE,192.0,2020-08-10
44,,Coveralls,181.0,2020-08-10
