,Unnamed: 0,category,balance,Date
0,0,Medical or Surgical Masks,1320109,7/29/2020
1,1,Gloves,1113298,7/29/2020
2,2,Alternative Gowns,1013776,7/29/2020
3,3,Gowns,486245,7/29/2020
4,4,N95 Masks,479630,7/29/2020
5,5,Eye Protection,284560,7/29/2020
6,6,Other Items,100315,7/29/2020
7,7,Reusable cloth face covering,79900,7/29/2020
8,8,Face Shield,64830,7/29/2020
9,9,Cleaning/Disinfectant,27760,7/29/2020
10,10,KN95 Masks,5695,7/29/2020
11,11,Hand Sanitizer/Hygiene,2517,7/29/2020
12,12,Powered air-purifying respirator (PAPR),1648,7/29/2020
13,13,Coveralls,181,7/29/2020
14,14,Medical or Surgical Masks,1315409,7/30/2020
15,15,Gloves,1105698,7/30/2020
16,16,Alternative Gowns,1013616,7/30/2020
17,17,Gowns,662817,7/30/2020
18,18,N95 Masks,477330,7/30/2020
19,19,Eye Protection,284560,7/30/2020
20,20,Other Items,99815,7/30/2020
21,21,Reusable cloth face covering,79900,7/30/2020
22,22,Face Shield,64705,7/30/2020
23,23,Cleaning/Disinfectant,27760,7/30/2020
24,24,KN95 Masks,5695,7/30/2020
25,25,Hand Sanitizer/Hygiene,2517,7/30/2020
26,26,Powered air-purifying respirator (PAPR),1648,7/30/2020
27,27,Coveralls,181,7/30/2020
28,,Medical or Surgical Masks,1304309,8/3/2020
29,,Gloves,1087898,8/3/2020
30,,Alternative Gowns,1013512,8/3/2020
31,,Gowns,859539,8/3/2020
32,,N95 Masks,702120,8/3/2020
33,,Eye Protection,265360,8/3/2020
34,,Other Items,99015,8/3/2020
35,,Face Shield,62625,8/3/2020
36,,Reusable cloth face covering,57900,8/3/2020
37,,Cleaning/Disinfectant,27760,8/3/2020
38,,KN95 Masks,5695,8/3/2020
39,,Hand Sanitizer/Hygiene,2517,8/3/2020
40,,Powered air-purifying respirator (PAPR),1648,8/3/2020
41,,BATTERIES,824,8/3/2020
42,,Thermometer,412,8/3/2020
43,,BOTTLE,192,8/3/2020
44,,Coveralls,181,8/3/2020
