,facility type,category,month,qty out
0,Assisted living,face shield,1,677.0
1,Assisted living,face shield,2,156.0
2,Assisted living,face shield,4,288.0
3,Assisted living,face shield,5,120.0
4,Assisted living,face shield,6,150.0
5,Assisted living,face shield,7,295.0
6,Assisted living,face shield,10,6000.0
7,Assisted living,face shield,11,500.0
8,Assisted living,face shield,12,280.0
9,Assisted living,gloves,1,12500.0
10,Assisted living,gloves,2,1700.0
11,Assisted living,gloves,4,11100.0
12,Assisted living,gloves,5,9800.0
13,Assisted living,gloves,6,2300.0
14,Assisted living,gloves,7,3400.0
15,Assisted living,gloves,10,11200.0
16,Assisted living,gloves,11,8300.0
17,Assisted living,gloves,12,22300.0
18,Assisted living,gowns,1,3050.0
19,Assisted living,gowns,2,150.0
20,Assisted living,gowns,4,606.0
21,Assisted living,gowns,5,680.0
22,Assisted living,gowns,6,140.0
23,Assisted living,gowns,7,800.0
24,Assisted living,gowns,10,3000.0
25,Assisted living,gowns,11,1500.0
26,Assisted living,gowns,12,20160.0
27,Assisted living,hand sanitizer,5,4.0
28,Assisted living,hand sanitizer,7,5.0
29,Assisted living,n95,1,1000.0
30,Assisted living,n95,2,460.0
31,Assisted living,n95,4,540.0
32,Assisted living,n95,5,830.0
33,Assisted living,n95,7,560.0
34,Assisted living,n95,10,3000.0
35,Assisted living,n95,11,1400.0
36,Assisted living,n95,12,690.0
37,Assisted living,surgical mask,1,1400.0
38,Assisted living,surgical mask,2,400.0
39,Assisted living,surgical mask,3,200.0
40,Assisted living,surgical mask,4,1600.0
41,Assisted living,surgical mask,5,1250.0
42,Assisted living,surgical mask,6,500.0
43,Assisted living,surgical mask,7,3200.0
44,Assisted living,surgical mask,10,6000.0
45,Assisted living,surgical mask,11,1500.0
46,Assisted living,surgical mask,12,1600.0
47,Assisted living,testing supplies,1,560.0
48,Assisted living,testing supplies,2,380.0
49,Assisted living,testing supplies,10,200.0
50,Assisted living,testing supplies,11,160.0
51,Assisted living,testing supplies,12,210.0
52,Assisted living,thermometers,4,1.0
53,Behavioral health,disinfectants,2,24.0
54,Behavioral health,disinfectants,12,20.0
55,Behavioral health,face shield,5,96.0
56,Behavioral health,face shield,6,1000.0
57,Behavioral health,face shield,7,500.0
58,Behavioral health,face shield,10,300.0
59,Behavioral health,gloves,5,600.0
60,Behavioral health,gloves,6,1000.0
61,Behavioral health,gloves,7,600.0
62,Behavioral health,gloves,10,3000.0
63,Behavioral health,gloves,11,2200.0
64,Behavioral health,gloves,12,4100.0
65,Behavioral health,gowns,5,146.0
66,Behavioral health,gowns,6,300.0
67,Behavioral health,gowns,7,500.0
68,Behavioral health,gowns,10,300.0
69,Behavioral health,hand sanitizer,12,100.0
70,Behavioral health,misc,2,32.0
71,Behavioral health,n95,2,1200.0
72,Behavioral health,n95,5,120.0
73,Behavioral health,n95,6,20.0
74,Behavioral health,n95,12,1400.0
75,Behavioral health,surgical mask,5,100.0
76,Behavioral health,surgical mask,6,1000.0
77,Behavioral health,surgical mask,7,2000.0
78,Behavioral health,surgical mask,10,3500.0
79,Behavioral health,surgical mask,11,300.0
80,Behavioral health,surgical mask,12,1400.0
81,Behavioral health,testing supplies,8,1000.0
82,Behavioral health,thermometers,11,10.0
83,Daycare,disinfectants,12,10.0
84,Daycare,reusable masks,12,40.0
85,Dental,face shield,4,24.0
86,Dental,face shield,5,10.0
87,Dental,face shield,6,20.0
88,Dental,gloves,3,12000.0
89,Dental,gloves,5,100.0
90,Dental,gloves,6,1000.0
91,Dental,gowns,4,18.0
92,Dental,gowns,5,10.0
93,Dental,gowns,6,100.0
94,Dental,n95,4,30.0
95,Dental,n95,5,60.0
96,Dental,n95,6,100.0
97,Dental,surgical mask,4,50.0
98,Dental,surgical mask,5,50.0
99,Dental,surgical mask,6,300.0
