category,qty out
gloves,4887687.0
surgical mask,1832141.0
testing supplies,964414.0
gown,672235.0
n95,636758.0
reusable masks,333015.0
face shield,298922.0
misc,224104.0
kn95,187850.0
alt. gowns,46567.0
sanitizer,43962.0
other,35548.0
needles,19000.0
goggles,13270.0
mask,10008.0
ventilator supplies,2841.0
syringes,2000.0
thermometer,1329.0
literature,1000.0
stat paq,343.0
ventilators,317.0
sheet,290.0
disinfectants,267.0
container,260.0
coveralls,200.0
bag,200.0
glasses,200.0
safety,160.0
ventilator,72.0
testing suppliesing supplies,50.0
ventilator  ,5.0
wipes,2.0
