category,qty out
gloves,8303827.0
surgical mask,2640754.0
testing supplies,1063881.0
gown,748345.0
n95,734418.0
literature,483730.0
face shield,410383.0
reusable masks,334365.0
kn95,187850.0
needle,130600.0
misc,83866.0
sanitizer,63303.0
alt. gowns,61787.0
other,38548.0
disinfectants,19132.0
syringes,18900.0
goggles,14470.0
ventilator supplies,4094.0
thermometer,1404.0
synthetic,1400.0
vests,1048.0
ponchos,1021.0
batteries,672.0
hand warmers,504.0
caps,400.0
filters,360.0
safety,350.0
stat paq,343.0
sheet,290.0
container,260.0
bag,200.0
coveralls,200.0
ipad,131.0
vaccine,100.0
ancillary kits,100.0
ipads,45.0
radios,20.0
canopy,5.0
cradle,3.0
