,facility type,category,month,qty out
0,Fqhc/community center,face shield,10,300.0
1,Fqhc/community center,gloves,10,3000.0
2,Fqhc/community center,gowns,10,300.0
3,Fqhc/community center,surgical mask,10,3500.0
4,Fqhc/community health center,face shield,10,900.0
5,Fqhc/community health center,gloves,10,6000.0
6,Fqhc/community health center,gowns,10,10.0
7,Fqhc/community health center,n95,10,400.0
8,Fqhc/community health center,n95,11,700.0
9,Fqhc/community health center,surgical mask,10,500.0
10,Home health,face shield,10,820.0
11,Home health,gloves,10,2200.0
12,Home health,gowns,10,160.0
13,Home health,n95,10,560.0
14,Home health,surgical mask,10,2250.0
15,Home health,testing supplies,10,400.0
16,Hospice care,testing supplies,1,120.0
17,Hospital,ancillary kits,1,100.0
18,Hospital,face shield,10,1200.0
19,Hospital,face shield,11,250.0
20,Hospital,gloves,1,19800.0
21,Hospital,gloves,10,6600.0
22,Hospital,gloves,11,4100.0
23,Hospital,gloves,12,1000.0
24,Hospital,gowns,1,1500.0
25,Hospital,gowns,10,320.0
26,Hospital,gowns,11,250.0
27,Hospital,gowns,12,1000.0
28,Hospital,n95,1,120.0
29,Hospital,n95,10,340.0
30,Hospital,n95,11,920.0
31,Hospital,n95,12,200.0
32,Hospital,surgical mask,1,760.0
33,Hospital,surgical mask,10,6000.0
34,Hospital,surgical mask,11,1450.0
35,Hospital,testing supplies,1,3120.0
36,Hospital,testing supplies,10,160.0
37,Hospital,testing supplies,11,200.0
38,Hospital,ventilator,12,56.0
39,Mc,gloves,11,4000.0
40,Mc,hand sanitizer,11,24.0
41,Mc,surgical mask,11,2000.0
42,Medical,face shield,1,50.0
43,Medical,face shield,12,20.0
44,Medical,gloves,1,41400.0
45,Medical,gloves,12,3300.0
46,Medical,gowns,1,3400.0
47,Medical,gowns,12,230.0
48,Medical,misc,12,20.0
49,Medical,n95,1,630.0
50,Medical,n95,12,200.0
51,Medical,other,1,200.0
52,Medical,surgical mask,1,1900.0
53,Medical,surgical mask,12,300.0
54,Medical,testing supplies,1,130950.0
55,Medical,testing supplies,12,2550.0
56,Medical,thermometer,1,6.0
57,Pod,batteries,1,120.0
58,Pod,cradle,12,3.0
59,Pod,disinfectant,12,40.0
60,Pod,disinfectants,12,135.0
61,Pod,face shield,12,806.0
62,Pod,filters,1,360.0
63,Pod,gloves,1,1047500.0
64,Pod,gloves,12,44004.0
65,Pod,hand sanitizer,12,400.0
66,Pod,hand warmers,12,504.0
67,Pod,ipad,12,70.0
68,Pod,literature,1,101800.0
69,Pod,misc,1,32725.0
70,Pod,misc,11,10.0
71,Pod,misc,12,209153.0
72,Pod,needle,1,5000.0
73,Pod,needles,1,14000.0
74,Pod,needles,12,5000.0
75,Pod,ponchos,1,500.0
76,Pod,radios,1,20.0
77,Pod,safety,12,160.0
78,Pod,surgical mask,1,10500.0
79,Pod,surgical mask,12,8400.0
80,Pod,syringes,1,12000.0
81,Pod,thermometer,12,4.0
82,Pod,vests,1,40.0
83,Urgetn care,face shield,11,180.0
84,Urgetn care,gloves,11,3000.0
85,Urgetn care,gloves,12,6000.0
86,Urgetn care,gowns,11,600.0
87,Urgetn care,n95,11,300.0
88,Urgetn care,n95,12,90.0
89,Urgetn care,sanitizer,12,18.0
90,Urgetn care,surgical mask,11,3000.0
91,Urgetn care,surgical mask,12,1200.0
92,Urgetn care,testing supplies,12,1200.0
93,county,disinfectant,5,60.0
94,county,disinfectant,7,55.0
95,county,disinfectant,8,6.0
96,county,disinfectants,1,65.0
97,county,face shield,4,1344.0
98,county,face shield,6,10.0
99,county,face shield,9,1000.0
100,county,gloves,4,42000.0
101,county,gloves,6,1000.0
102,county,gloves,7,9000.0
103,county,gloves,8,100.0
104,county,gloves,9,36200.0
105,county,gowns,4,2358.0
106,county,hand sanitizer,5,20.0
107,county,hand sanitizer,6,10.0
108,county,hand sanitizer,8,48.0
109,county,hand sanitizer,9,24.0
110,county,kn95,5,3000.0
111,county,kn95,6,1000.0
112,county,misc,1,299.0
113,county,misc,6,18.0
114,county,misc,8,60.0
115,county,misc,9,630.0
116,county,n95,3,570.0
117,county,n95,4,1440.0
118,county,n95,7,2600.0
119,county,reusable masks,5,10000.0
120,county,reusable masks,6,1350.0
121,county,reusable masks,8,500.0
122,county,stat paq,3,2.0
123,county,surgical mask,3,19200.0
124,county,surgical mask,4,13850.0
125,county,surgical mask,5,5000.0
126,county,surgical mask,6,4050.0
127,county,surgical mask,7,10000.0
128,county,testing supplies,8,3000.0
129,county,testing supplies,9,4000.0
130,county,thermometers,3,350.0
131,county,thermometers,4,322.0
132,county,thermometers,7,300.0
133,county,thermometers,8,100.0
134,ems/fire/law enforcement,alt. gowns,6,1000.0
135,ems/fire/law enforcement,disinfectant,8,15.0
136,ems/fire/law enforcement,disinfectant,9,112.0
137,ems/fire/law enforcement,face shield,4,1608.0
138,ems/fire/law enforcement,face shield,6,200.0
139,ems/fire/law enforcement,face shield,7,600.0
140,ems/fire/law enforcement,gloves,3,14000.0
141,ems/fire/law enforcement,gloves,4,19800.0
142,ems/fire/law enforcement,gloves,5,1000.0
143,ems/fire/law enforcement,gloves,6,1200.0
144,ems/fire/law enforcement,gloves,7,16900.0
145,ems/fire/law enforcement,gloves,9,1000.0
146,ems/fire/law enforcement,gloves,11,2200.0
147,ems/fire/law enforcement,gloves,12,1600.0
148,ems/fire/law enforcement,goggles,5,704.0
149,ems/fire/law enforcement,goggles,6,444.0
150,ems/fire/law enforcement,goggles,7,400.0
151,ems/fire/law enforcement,gowns,3,110.0
152,ems/fire/law enforcement,gowns,4,2652.0
153,ems/fire/law enforcement,gowns,5,760.0
154,ems/fire/law enforcement,gowns,6,1000.0
155,ems/fire/law enforcement,hand sanitizer,5,5.0
