category,qty out
gloves,6843117.0
surgical mask,2452726.0
testing supplies,1042607.0
gown,727011.0
n95,681948.0
face shield,400275.0
reusable masks,333015.0
misc,244408.0
kn95,187850.0
literature,116050.0
sanitizer,56449.0
alt. gowns,53627.0
other,35548.0
needles,23900.0
needle,19500.0
goggles,13270.0
syringes,12100.0
mask,10008.0
ventilator supplies,2841.0
disinfectants,2556.0
thermometer,1356.0
santizer,928.0
ponchos,509.0
hand warmers,504.0
filters,360.0
stat paq,343.0
ventilators,317.0
sheet,290.0
container,260.0
glasses,200.0
bag,200.0
coveralls,200.0
safety,160.0
batteries,120.0
ancillary kits,100.0
ventilator,72.0
ipad,70.0
testing suppliesing supplies,50.0
vests,40.0
radios,20.0
wipes,16.0
ventilator  ,5.0
cradle,3.0
