,facility type,category,month,qty out
0,Behavioral health,face shield,5,96.0
1,Behavioral health,face shield,6,1000.0
2,Behavioral health,face shield,7,500.0
3,Behavioral health,face shield,10,300.0
4,Behavioral health,gloves,5,600.0
5,Behavioral health,gloves,6,1000.0
6,Behavioral health,gloves,7,600.0
7,Behavioral health,gloves,10,3000.0
8,Behavioral health,gowns,5,146.0
9,Behavioral health,gowns,6,300.0
10,Behavioral health,gowns,7,500.0
11,Behavioral health,gowns,10,300.0
12,Behavioral health,n95,5,120.0
13,Behavioral health,n95,6,20.0
14,Behavioral health,surgical mask,5,100.0
15,Behavioral health,surgical mask,6,1000.0
16,Behavioral health,surgical mask,7,2000.0
17,Behavioral health,surgical mask,10,3500.0
18,Behavioral health,testing supplies,8,1000.0
19,Dental,face shield,4,24.0
20,Dental,face shield,5,10.0
21,Dental,face shield,6,20.0
22,Dental,gloves,3,12000.0
23,Dental,gloves,5,100.0
24,Dental,gloves,6,1000.0
25,Dental,gowns,4,18.0
26,Dental,gowns,5,10.0
27,Dental,gowns,6,100.0
28,Dental,n95,4,30.0
29,Dental,n95,5,60.0
30,Dental,n95,6,100.0
31,Dental,surgical mask,4,50.0
32,Dental,surgical mask,5,50.0
33,Dental,surgical mask,6,300.0
34,Hospital,ancillary kits,1,100.0
35,Hospital,face shield,7,120.0
36,Hospital,face shield,10,1200.0
37,Hospital,face shield,11,250.0
38,Hospital,gloves,1,19800.0
39,Hospital,gloves,3,900.0
40,Hospital,gloves,7,1800.0
41,Hospital,gloves,10,6600.0
42,Hospital,gloves,11,4100.0
43,Hospital,gloves,12,1000.0
44,Hospital,gowns,1,1500.0
45,Hospital,gowns,3,252.0
46,Hospital,gowns,7,250.0
47,Hospital,gowns,10,320.0
48,Hospital,gowns,11,250.0
49,Hospital,gowns,12,1000.0
50,Hospital,kn95,5,10000.0
51,Hospital,n95,1,120.0
52,Hospital,n95,3,2050.0
53,Hospital,n95,7,240.0
54,Hospital,n95,10,340.0
55,Hospital,n95,11,920.0
56,Hospital,n95,12,200.0
57,Hospital,surgical mask,1,760.0
58,Hospital,surgical mask,3,5250.0
59,Hospital,surgical mask,7,1400.0
60,Hospital,surgical mask,10,6000.0
61,Hospital,surgical mask,11,1450.0
62,Hospital,testing supplies,1,3120.0
63,Hospital,testing supplies,10,160.0
64,Hospital,testing supplies,11,200.0
65,Hospital,ventilators,12,56.0
66,Medical,disinfectants,2,224.0
67,Medical,face shield,1,50.0
68,Medical,face shield,2,254.0
69,Medical,face shield,6,136.0
70,Medical,face shield,7,5000.0
71,Medical,face shield,12,100.0
72,Medical,gloves,1,41400.0
73,Medical,gloves,2,15200.0
74,Medical,gloves,6,500.0
75,Medical,gloves,12,13400.0
76,Medical,goggles,7,960.0
77,Medical,gowns,1,3400.0
78,Medical,gowns,2,1050.0
79,Medical,gowns,6,120.0
80,Medical,gowns,7,6000.0
81,Medical,gowns,12,230.0
82,Medical,literature,2,200.0
83,Medical,misc,1,200.0
84,Medical,misc,2,432.0
85,Medical,misc,12,20.0
86,Medical,n95,1,630.0
87,Medical,n95,2,3520.0
88,Medical,n95,6,180.0
89,Medical,n95,11,100.0
90,Medical,n95,12,600.0
91,Medical,needles,2,200.0
92,Medical,surgical mask,1,1900.0
