category,qty out
gloves,6304187.0
surgical mask,2322221.0
testing supplies,1003819.0
gown,689725.0
n95,651018.0
reusable masks,333015.0
face shield,309443.0
misc,244257.0
kn95,187850.0
literature,101800.0
alt. gowns,46567.0
sanitizer,43989.0
other,35548.0
needles,19000.0
goggles,13270.0
syringes,12100.0
mask,10008.0
needle,5100.0
ventilator supplies,2841.0
disinfectants,2446.0
thermometer,1329.0
hand warmers,504.0
ponchos,500.0
filters,360.0
stat paq,343.0
ventilators,317.0
sheet,290.0
container,260.0
bag,200.0
coveralls,200.0
glasses,200.0
safety,160.0
batteries,120.0
ancillary kits,100.0
ventilator,72.0
ipad,70.0
testing suppliesing supplies,50.0
vests,40.0
radios,20.0
ventilator  ,5.0
cradle,3.0
wipes,2.0
