category,qty out
gloves,7555047.0
surgical mask,2480894.0
testing supplies,1039741.0
gown,721495.0
n95,672148.0
face shield,400623.0
reusable masks,334365.0
misc,257456.0
literature,199030.0
kn95,187850.0
alt. gowns,59547.0
sanitizer,58484.0
needle,43400.0
other,35548.0
goggles,13470.0
syringes,12100.0
ventilator supplies,3230.0
disinfectants,2626.0
thermometer,1345.0
ponchos,509.0
hand warmers,504.0
filters,360.0
stat paq,343.0
safety,310.0
sheet,290.0
container,260.0
coveralls,200.0
bag,200.0
batteries,120.0
ancillary kits,100.0
ipad,70.0
vests,40.0
radios,20.0
ventilator  ,5.0
cradle,3.0
