facility type,qty out
long term care/assisted care/group home/skilled nursing/hospice,8936539.0
school,2767674.0
other,2484177.0
Pod,1923078.0
hospital,1451539.0
Non profit,614571.0
home health,423884.0
jurisdiction,315203.0
Medical,237761.0
ems/fire/law enforcement,223009.0
county,197779.0
Assisted living,138801.0
Hospital,125182.0
hospice care,119631.0
Specialty care,94312.0
Recovery care,44168.0
fqhc/community health center,38407.0
Memory care,32648.0
Behavioral health,26868.0
Senior living,20320.0
private practice,17540.0
Dental,13872.0
Independent living,5244.0
Pharmacy,4200.0
Womens health,3190.0
Group home,758.0
Pediatrics,380.0
Daycare,50.0
