category,qty out
gloves,3505983.0
surgical mask,1299235.0
test,717755.0
gowns,571695.0
n95,526038.0
reusable masks,333015.0
face shield,249544.0
kn95,187850.0
testing supplies,90051.0
sanitizer,36155.0
alt. gowns,35567.0
other items,34748.0
goggles,13270.0
gown,10400.0
hand sanitizer,5376.0
misc,1838.0
thermometers,1072.0
t,960.0
disinfectant,689.0
stat paq,343.0
sheet,290.0
container,260.0
thermometer,244.0
other,200.0
glasses,200.0
coveralls,200.0
bag,200.0
ventilators,60.0
binax,40.0
wipes,2.0
