,facility type,category,month,qty out
0,Fqhc/community center,face shield,10,300.0
1,Fqhc/community center,gloves,10,3000.0
2,Fqhc/community center,gowns,10,300.0
3,Fqhc/community center,surgical mask,10,3500.0
4,Fqhc/community health center,face shield,10,900.0
5,Fqhc/community health center,gloves,10,6000.0
6,Fqhc/community health center,gowns,10,10.0
7,Fqhc/community health center,n95,10,400.0
8,Fqhc/community health center,n95,11,700.0
9,Fqhc/community health center,surgical mask,10,500.0
10,Home health,face shield,10,820.0
11,Home health,gloves,10,2200.0
12,Home health,gowns,10,160.0
13,Home health,n95,10,560.0
14,Home health,surgical mask,10,2250.0
15,Home health,testing supplies,10,400.0
16,Hospital,face shield,10,1200.0
17,Hospital,face shield,11,250.0
18,Hospital,gloves,10,6600.0
19,Hospital,gloves,11,4100.0
20,Hospital,gowns,10,320.0
21,Hospital,gowns,11,250.0
22,Hospital,n95,10,340.0
23,Hospital,n95,11,920.0
24,Hospital,surgical mask,10,6000.0
25,Hospital,surgical mask,11,1450.0
26,Hospital,testing supplies,10,160.0
27,Hospital,testing supplies,11,200.0
28,county,disinfectant,5,60.0
29,county,disinfectant,7,55.0
30,county,disinfectant,8,6.0
31,county,face shield,4,1344.0
32,county,face shield,6,10.0
33,county,face shield,9,1000.0
34,county,gloves,4,42000.0
35,county,gloves,6,1000.0
36,county,gloves,7,9000.0
37,county,gloves,8,100.0
38,county,gloves,9,36200.0
39,county,gowns,4,2358.0
40,county,hand sanitizer,5,20.0
41,county,hand sanitizer,6,10.0
42,county,hand sanitizer,8,48.0
43,county,hand sanitizer,9,24.0
44,county,kn95,5,3000.0
45,county,kn95,6,1000.0
46,county,misc,6,18.0
47,county,misc,8,60.0
48,county,misc,9,630.0
49,county,n95,3,570.0
50,county,n95,4,1440.0
51,county,n95,7,600.0
52,county,reusable masks,5,10000.0
53,county,reusable masks,6,1350.0
54,county,reusable masks,8,500.0
55,county,stat paq,3,2.0
56,county,surgical mask,3,19200.0
57,county,surgical mask,4,13850.0
58,county,surgical mask,5,5000.0
59,county,surgical mask,6,4050.0
60,county,surgical mask,7,10000.0
61,county,testing supplies,8,3000.0
62,county,testing supplies,9,4000.0
63,county,thermometers,3,350.0
64,county,thermometers,4,322.0
65,county,thermometers,7,300.0
66,county,thermometers,8,100.0
67,ems/fire/law enforcement,disinfectant,8,15.0
68,ems/fire/law enforcement,disinfectant,9,112.0
69,ems/fire/law enforcement,face shield,4,1608.0
70,ems/fire/law enforcement,face shield,6,200.0
71,ems/fire/law enforcement,face shield,7,600.0
72,ems/fire/law enforcement,gloves,3,14000.0
73,ems/fire/law enforcement,gloves,4,19800.0
74,ems/fire/law enforcement,gloves,5,1000.0
75,ems/fire/law enforcement,gloves,6,1200.0
76,ems/fire/law enforcement,gloves,7,16900.0
77,ems/fire/law enforcement,gloves,9,1000.0
78,ems/fire/law enforcement,goggles,5,704.0
79,ems/fire/law enforcement,goggles,6,144.0
80,ems/fire/law enforcement,goggles,7,400.0
81,ems/fire/law enforcement,gowns,3,110.0
82,ems/fire/law enforcement,gowns,4,2652.0
83,ems/fire/law enforcement,gowns,5,760.0
84,ems/fire/law enforcement,gowns,6,1000.0
85,ems/fire/law enforcement,hand sanitizer,5,5.0
86,ems/fire/law enforcement,hand sanitizer,9,48.0
87,ems/fire/law enforcement,kn95,7,80080.0
88,ems/fire/law enforcement,n95,3,3578.0
89,ems/fire/law enforcement,n95,4,7000.0
90,ems/fire/law enforcement,n95,5,2700.0
91,ems/fire/law enforcement,n95,6,200.0
92,ems/fire/law enforcement,n95,7,1900.0
93,ems/fire/law enforcement,reusable masks,5,6000.0
94,ems/fire/law enforcement,stat paq,3,141.0
95,ems/fire/law enforcement,surgical mask,3,550.0
96,ems/fire/law enforcement,surgical mask,4,16050.0
97,ems/fire/law enforcement,surgical mask,5,1000.0
98,ems/fire/law enforcement,surgical mask,6,500.0
99,ems/fire/law enforcement,surgical mask,9,2000.0
100,ems/fire/law enforcement,testing supplies,7,120.0
101,ems/fire/law enforcement,testing supplies,8,10.0
102,fqhc/community health center,face shield,7,5000.0
103,fqhc/community health center,gloves,3,600.0
104,fqhc/community health center,goggles,7,960.0
105,fqhc/community health center,gowns,7,6000.0
106,fqhc/community health center,n95,3,720.0
107,fqhc/community health center,surgical mask,9,500.0
108,fqhc/community health center,testing supplies,8,240.0
109,fqhc/community health center,testing supplies,9,2000.0
110,home health,face shield,6,450.0
111,home health,face shield,7,136.0
112,home health,face shield,9,1600.0
113,home health,face shield,10,1630.0
114,home health,gloves,6,800.0
115,home health,gloves,7,2100.0
116,home health,gloves,9,55200.0
117,home health,gloves,10,141700.0
118,home health,gowns,6,260.0
119,home health,gowns,7,600.0
120,home health,gowns,9,2000.0
121,home health,gowns,10,2030.0
122,home health,n95,6,500.0
123,home health,n95,7,900.0
124,home health,n95,9,2500.0
125,home health,n95,10,2720.0
126,home health,surgical mask,6,3700.0
127,home health,surgical mask,7,1950.0
128,home health,surgical mask,9,11200.0
129,home health,surgical mask,10,10100.0
130,hospital,alt. gowns,3,58.0
131,hospital,alt. gowns,4,55.0
132,hospital,disinfectant,6,1.0
133,hospital,face shield,3,9384.0
134,hospital,face shield,4,840.0
135,hospital,face shield,6,1120.0
136,hospital,face shield,7,620.0
137,hospital,face shield,9,450.0
138,hospital,gloves,3,41400.0
139,hospital,gloves,4,900.0
140,hospital,gloves,6,38200.0
141,hospital,gloves,7,2400.0
142,hospital,gloves,9,13000.0
143,hospital,goggles,9,60.0
144,hospital,gowns,3,10620.0
145,hospital,gowns,4,222.0
146,hospital,gowns,6,1900.0
147,hospital,gowns,7,750.0
148,hospital,gowns,9,200.0
149,hospital,hand sanitizer,6,30.0
150,hospital,kn95,5,10000.0
